01-12 - QUI - VIDA & SAUDE,(32) 3281-1111
02-12 - SEX - VARGAS ,(32) 3281-1655
03-12 - SAB - PHARMAVIDA,(32) 3281-1719
04-12 - DOM - SAO JOSE,(32) 3281-1267
05-12 - SEG - RODRIGUES,(32) 3281-1719
06-12 - TER - VERDE FARMA,(32) 3281-1718
07-12 - QUA - PAIVA,(32) 3281-1309
08-12 - QUI - TERRA FARMA,(32) 3281-3148
09-12 - SEX - VIDA & SAUDE,(32) 3281-1111
10-12 - SAB - VARGAS ,(32) 3281-1655
11-12 - DOM - PHARMAVIDA,(32) 3281-1719
12-12 - SEG - SAO JOSE,(32) 3281-1267
13-12 - TER - RODRIGUES,(32) 3281-1719
14-12 - QUA - VERDE FARMA,(32) 3281-1718
15-12 - QUI - PAIVA,(32) 3281-1309
16-12 - SEX - TERRA FARMA,(32) 3281-3148
17-12 - SAB - VIDA & SAUDE,(32) 3281-1111
18-12 - DOM - VARGAS ,(32) 3281-1655
19-12 - SEG - PHARMAVIDA,(32) 3281-1719
20-12 - TER - SAO JOSE,(32) 3281-1267
21-12 - QUA - RODRIGUES,(32) 3281-1719
22-12 - QUI - VERDE FARMA,(32) 3281-1718
23-12 - SEX - PAIVA,(32) 3281-1309
24-12 - SAB - TERRA FARMA,(32) 3281-3148
25-12 - DOM - VIDA & SAUDE,(32) 3281-1111
26-12 - SEG - VARGAS ,(32) 3281-1655
27-12 - TER - PHARMAVIDA,(32) 3281-1719
28-12 - QUA - SAO JOSE,(32) 3281-1267
29-12 - QUI - RODRIGUES,(32) 3281-1719
30-12 - SEX - VERDE FARMA,(32) 3281-1718
31-12 - SAB - PAIVA,(32) 3281-1309
